,Geography,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Bulk GTIN
0,Albany,2019-01-07 ,Conventional,0.921801566,111277,3542,95714,149,10905,968
1,Albany,2019-01-13 ,Conventional,0.906561129,115663,2921,101796,181,10073,693
2,Albany,2019-01-20 ,Conventional,0.998831048,146108,4322,123402,180,17223,981
3,Albany,2019-01-27 ,Conventional,1.052065122,80297,3380,64019,211,11066,1622
4,Albany,2019-02-03 ,Conventional,0.798757561,186953,4372,169579,358,11217,1428
5,Albany,2019-02-10 ,Conventional,0.882870237,109116,4770,91720,159,11024,1444
6,Albany,2019-02-17 ,Conventional,1.039362128,93262,4653,76693,219,10976,720
7,Albany,2019-02-24 ,Conventional,0.880905745,114022,3767,98810,201,9638,1606
8,Albany,2019-03-03 ,Conventional,1.08048977,95695,3950,79013,232,10869,1631
9,Albany,2019-03-10 ,Conventional,0.821932997,157968,3668,143421,245,10022,612
10,Albany,2019-03-17 ,Conventional,1.049817661,95304,3858,75481,231,15336,398
11,Albany,2019-03-24 ,Conventional,0.909840811,138460,3990,121153,193,12608,518
12,Albany,2019-03-31 ,Conventional,1.044839841,99901,3638,77480,219,18272,292
13,Albany,2019-04-07 ,Conventional,0.839517566,145373,4796,126468,286,13593,231
14,Albany,2019-04-14 ,Conventional,1.132011896,88281,3954,71423,242,12537,125
15,Albany,2019-04-21 ,Conventional,1.475811756,94806,3476,77649,310,13260,109
16,Albany,2019-04-28 ,Conventional,1.542950896,79953,3707,64053,257,11807,129
17,Albany,2019-05-05 ,Conventional,1.229378195,151105,5052,133087,390,12239,338
18,Albany,2019-05-12 ,Conventional,1.491083581,107711,4303,89501,235,13470,203
19,Albany,2019-05-19 ,Conventional,1.636085987,120344,3327,102539,260,13467,750
20,Albany,2019-05-26 ,Conventional,1.605431935,108192,4441,89868,246,12851,786
21,Albany,2019-06-02 ,Conventional,1.604726281,101317,3149,83967,266,13674,261
22,Albany,2019-06-09 ,Conventional,1.653283495,142480,4718,122079,205,13353,2126
23,Albany,2019-06-16 ,Conventional,1.325531453,129268,3476,111891,199,12146,1556
24,Albany,2019-06-23 ,Conventional,1.58145548,121184,2891,100712,388,13634,3559
25,Albany,2019-06-30 ,Conventional,1.505042065,100889,2844,76888,416,17445,3295
26,Albany,2019-07-07 ,Conventional,1.557649926,105531,3010,84226,304,14848,3143
27,Albany,2019-07-14 ,Conventional,1.525633873,100464,2931,83146,262,11306,2819
28,Albany,2019-07-21 ,Conventional,1.571836356,92780,2915,76354,291,11748,1472
29,Albany,2019-07-28 ,Conventional,1.653728266,86020,3606,68037,491,11722,2163
30,Albany,2019-08-04 ,Conventional,1.603503504,87359,3853,68838,458,11864,2347
31,Albany,2019-08-11 ,Conventional,1.533176947,91043,3948,70015,1841,13189,2051
32,Albany,2019-08-18 ,Conventional,1.437172984,100921,8506,76919,548,12006,2942
33,Albany,2019-08-25 ,Conventional,1.340949267,91925,9320,70246,467,10722,1170
34,Albany,2019-09-01 ,Conventional,1.471590963,99262,8470,78312,356,10502,1623
35,Albany,2019-09-08 ,Conventional,1.479116149,97456,7771,72541,431,14242,2471
36,Albany,2019-09-15 ,Conventional,1.560548123,104201,6071,87329,141,9061,1600
37,Albany,2019-09-22 ,Conventional,1.335099247,86963,4704,71035,149,9313,1762
38,Albany,2019-09-29 ,Conventional,1.363350506,141190,4024,124931,110,8592,3533
39,Albany,2019-10-06 ,Conventional,1.242837471,102577,4549,82626,96,13355,1950
40,Albany,2019-10-13 ,Conventional,1.45282281,86564,4186,70525,98,8528,3226
41,Albany,2019-10-20 ,Conventional,1.287874788,100855,4060,84434,119,9183,3060
42,Albany,2019-10-27 ,Conventional,1.351592831,108088,3527,90577,105,9331,4547
43,Albany,2019-11-03 ,Conventional,1.224583196,78202,2960,61674,118,9054,4396
44,Albany,2019-11-10 ,Conventional,1.200986894,92292,4006,76136,88,8930,3132
45,Albany,2019-11-17 ,Conventional,1.172488461,124046,4071,107364,130,8640,3842
46,Albany,2019-11-24 ,Conventional,1.174363573,82650,3579,64966,131,9779,4195
47,Albany,2019-12-01 ,Conventional,1.197096142,77929,2907,60240,78,11205,3500
48,Albany,2019-12-08 ,Conventional,1.227088386,102089,3235,83320,130,10043,5360
49,Albany,2019-12-15 ,Conventional,1.092785027,103031,3683,82520,147,10916,5765
50,Albany,2019-12-22 ,Conventional,1.247479424,99288,3264,80378,122,9383,6141
51,Albany,2019-12-29 ,Conventional,1.07580715,96724,2771,79620,173,9408,4753
52,Atlanta,2019-01-07 ,Conventional,0.953243075,728914,347480,33921,3280,83375,260859
53,Atlanta,2019-01-13 ,Conventional,0.93933677,753539,353449,31571,4541,83131,280846
54,Atlanta,2019-01-20 ,Conventional,0.94053514,751481,337496,31417,3767,111875,266926
55,Atlanta,2019-01-27 ,Conventional,0.966406642,725321,336255,33343,3559,119192,232973
56,Atlanta,2019-02-03 ,Conventional,0.878309124,891759,416982,33467,5560,117400,318350
57,Atlanta,2019-02-10 ,Conventional,0.86866022,721238,330950,26862,3382,92970,267075
58,Atlanta,2019-02-17 ,Conventional,0.916503698,682729,296423,26231,2714,95606,261755
59,Atlanta,2019-02-24 ,Conventional,0.977590855,634325,275867,26491,2894,109152,219920
60,Atlanta,2019-03-03 ,Conventional,0.999936571,674800,324228,31208,2616,118253,198496
61,Atlanta,2019-03-10 ,Conventional,0.975189978,675026,285438,25661,2893,127660,233373
62,Atlanta,2019-03-17 ,Conventional,0.953870074,738090,338956,33819,2603,120202,242509
63,Atlanta,2019-03-24 ,Conventional,1.036907654,614469,268537,27576,2624,125630,190102
64,Atlanta,2019-03-31 ,Conventional,1.006506017,647003,304606,28463,2574,116589,194770
65,Atlanta,2019-04-07 ,Conventional,0.999977918,677251,294185,24187,2972,107260,248647
66,Atlanta,2019-04-14 ,Conventional,1.064229354,702353,287585,24473,2770,95958,291567
67,Atlanta,2019-04-21 ,Conventional,1.253293499,580903,235056,27515,2517,104897,210918
68,Atlanta,2019-04-28 ,Conventional,1.346842835,540842,237051,24824,3810,96072,179085
69,Atlanta,2019-05-05 ,Conventional,1.217623934,761720,315860,27565,4323,105039,308934
70,Atlanta,2019-05-12 ,Conventional,1.207456455,648511,282653,24398,3032,104821,233607
71,Atlanta,2019-05-19 ,Conventional,1.273426212,566699,243450,26086,3302,107292,186568
72,Atlanta,2019-05-26 ,Conventional,1.234486853,619593,276046,27412,2761,109196,204178
73,Atlanta,2019-06-02 ,Conventional,1.088661964,706784,287051,25211,3174,100374,290974
74,Atlanta,2019-06-09 ,Conventional,1.105597247,681095,295334,25115,2511,100866,257270
75,Atlanta,2019-06-16 ,Conventional,1.243542772,604359,265922,23613,2474,99795,212555
76,Atlanta,2019-06-23 ,Conventional,1.303583196,594258,290545,24352,2457,112535,164370
77,Atlanta,2019-06-30 ,Conventional,1.312392284,609140,257210,21365,2464,128009,200093
78,Atlanta,2019-07-07 ,Conventional,1.354492124,622716,284921,25711,2397,119697,189990
79,Atlanta,2019-07-14 ,Conventional,1.3821004,562006,235022,23859,2249,131393,169483
80,Atlanta,2019-07-21 ,Conventional,1.436340901,541490,217572,22989,2416,110138,188376
81,Atlanta,2019-07-28 ,Conventional,1.429623023,530315,211056,20897,2368,103808,192186
82,Atlanta,2019-08-04 ,Conventional,1.354063842,580104,231631,22542,2525,113817,209587
83,Atlanta,2019-08-11 ,Conventional,1.302578953,564960,213198,22498,2385,127189,199690
84,Atlanta,2019-08-18 ,Conventional,1.285052142,583062,223913,21467,2040,125474,210168
85,Atlanta,2019-08-25 ,Conventional,1.248584316,621590,237308,22525,2076,118920,240761
86,Atlanta,2019-09-01 ,Conventional,1.12041939,670321,249226,20284,1894,130894,268024
87,Atlanta,2019-09-08 ,Conventional,1.132249584,644850,265569,22850,2152,110275,244004
88,Atlanta,2019-09-15 ,Conventional,1.224030933,615628,271488,23755,2045,91265,227074
89,Atlanta,2019-09-22 ,Conventional,1.211891196,612766,238128,46544,1764,106990,219339
90,Atlanta,2019-09-29 ,Conventional,1.202171289,623785,216354,73628,1723,104820,227261
91,Atlanta,2019-10-06 ,Conventional,1.074874802,690908,229672,84707,1854,109624,265051
92,Atlanta,2019-10-13 ,Conventional,1.12397472,608311,220491,45499,1592,105802,234927
93,Atlanta,2019-10-20 ,Conventional,1.053240717,608646,234020,34750,1682,105836,232358
94,Atlanta,2019-10-27 ,Conventional,0.952336452,666771,254423,31458,1683,92818,286389
95,Atlanta,2019-11-03 ,Conventional,0.98813726,632380,252139,29286,1691,97723,251541
96,Atlanta,2019-11-10 ,Conventional,1.10613399,576218,235668,27175,1721,104321,207332
97,Atlanta,2019-11-17 ,Conventional,1.006923903,616064,249661,27085,1671,96351,241298
98,Atlanta,2019-11-24 ,Conventional,0.990587767,550466,210888,23463,1599,110081,204435
99,Atlanta,2019-12-01 ,Conventional,1.033920531,500128,200455,22470,1184,103113,172907
100,Atlanta,2019-12-08 ,Conventional,1.050683298,577423,257600,25931,1526,95249,197117
101,Atlanta,2019-12-15 ,Conventional,1.01784049,552775,243003,23426,1531,89660,195155
102,Atlanta,2019-12-22 ,Conventional,1.032862331,525261,232448,24022,1489,87144,180158
103,Atlanta,2019-12-29 ,Conventional,0.986676238,557515,245992,23581,1267,77407,209267
104,Baltimore/Washington,2019-01-07 ,Conventional,1.381834602,805565,91613,477451,7765,218167,10568
105,Baltimore/Washington,2019-01-13 ,Conventional,1.408329032,835323,129021,454925,10258,227752,13367
106,Baltimore/Washington,2019-01-20 ,Conventional,1.34535075,871220,107633,437312,7804,302880,15592
107,Baltimore/Washington,2019-01-27 ,Conventional,1.255976006,906614,104596,563158,8389,213029,17442
108,Baltimore/Washington,2019-02-03 ,Conventional,1.211949422,1035433,151388,548781,13442,303984,17837
109,Baltimore/Washington,2019-02-10 ,Conventional,1.208455599,921136,114265,570672,9118,213897,13183
110,Baltimore/Washington,2019-02-17 ,Conventional,1.319409171,776565,103677,445548,10022,204665,12653
111,Baltimore/Washington,2019-02-24 ,Conventional,1.243534435,863627,103326,537642,8617,195523,18518
112,Baltimore/Washington,2019-03-03 ,Conventional,1.417152272,791759,103179,436414,9335,225463,17368
113,Baltimore/Washington,2019-03-10 ,Conventional,1.31037892,855023,95962,499965,10476,234709,13911
114,Baltimore/Washington,2019-03-17 ,Conventional,1.266191201,897339,103531,454342,8079,317118,14269
115,Baltimore/Washington,2019-03-24 ,Conventional,1.335285464,888137,146603,452965,9407,262031,17130
116,Baltimore/Washington,2019-03-31 ,Conventional,1.255490008,924728,97750,400958,8566,399762,17692
117,Baltimore/Washington,2019-04-07 ,Conventional,1.355304532,903186,100007,423348,9075,354699,16056
118,Baltimore/Washington,2019-04-14 ,Conventional,1.330715032,882813,104144,505852,7706,253594,11518
119,Baltimore/Washington,2019-04-21 ,Conventional,1.613518564,788988,93179,394847,8688,280436,11838
120,Baltimore/Washington,2019-04-28 ,Conventional,1.610699536,789414,91982,399515,10453,274405,13059
121,Baltimore/Washington,2019-05-05 ,Conventional,1.401130376,1074346,125396,499295,11444,423325,14886
122,Baltimore/Washington,2019-05-12 ,Conventional,1.381367058,981852,102335,614176,8626,241990,14726
123,Baltimore/Washington,2019-05-19 ,Conventional,1.586980361,836226,105234,443209,9342,262313,16128
124,Baltimore/Washington,2019-05-26 ,Conventional,1.651977047,823733,86028,456082,9662,257911,14050
125,Baltimore/Washington,2019-06-02 ,Conventional,1.570782885,859792,116262,465808,9703,258697,9322
126,Baltimore/Washington,2019-06-09 ,Conventional,1.57989098,821901,112776,427415,8976,256903,15832
127,Baltimore/Washington,2019-06-16 ,Conventional,1.619454361,762453,88309,404351,9951,246227,13615
128,Baltimore/Washington,2019-06-23 ,Conventional,1.596305344,779146,89174,393844,9086,267942,19099
129,Baltimore/Washington,2019-06-30 ,Conventional,1.626163607,766297,77164,396341,9286,263865,19641
130,Baltimore/Washington,2019-07-07 ,Conventional,1.637155079,827301,84247,459699,8559,257767,17028
131,Baltimore/Washington,2019-07-14 ,Conventional,1.640863051,783902,97301,398851,8184,262238,17328
132,Baltimore/Washington,2019-07-21 ,Conventional,1.655716314,751253,86504,400616,8136,238868,17129
133,Baltimore/Washington,2019-07-28 ,Conventional,1.645692049,718750,86427,372534,9446,226980,23364
134,Baltimore/Washington,2019-08-04 ,Conventional,1.597206066,747221,79356,407004,10571,229020,21271
135,Baltimore/Washington,2019-08-11 ,Conventional,1.391591113,830723,86914,487007,9195,226063,21545
136,Baltimore/Washington,2019-08-18 ,Conventional,1.641292308,726860,84032,396619,10030,211247,24932
137,Baltimore/Washington,2019-08-25 ,Conventional,1.609004074,731806,96274,400196,12882,199311,23143
138,Baltimore/Washington,2019-09-01 ,Conventional,1.318024809,913838,88492,522573,8357,268725,25692
139,Baltimore/Washington,2019-09-08 ,Conventional,1.52022789,807193,86789,406221,7780,278829,27574
140,Baltimore/Washington,2019-09-15 ,Conventional,1.54418034,729227,78036,379903,7080,228245,35963
141,Baltimore/Washington,2019-09-22 ,Conventional,1.573804477,715230,90893,382126,6771,202705,32735
142,Baltimore/Washington,2019-09-29 ,Conventional,1.493096803,719422,83445,388612,6121,187214,54031
143,Baltimore/Washington,2019-10-06 ,Conventional,1.508774096,711217,77243,365297,6381,215651,46644
144,Baltimore/Washington,2019-10-13 ,Conventional,1.413453961,742542,98081,345727,6281,238183,54271
145,Baltimore/Washington,2019-10-20 ,Conventional,1.469820207,679501,71870,340576,4161,218997,43897
146,Baltimore/Washington,2019-10-27 ,Conventional,1.355577392,742077,99596,335575,4737,238095,64074
147,Baltimore/Washington,2019-11-03 ,Conventional,1.411186789,670977,77844,304513,4090,219776,64754
148,Baltimore/Washington,2019-11-10 ,Conventional,1.364621901,691088,75040,315132,3884,228612,68420
149,Baltimore/Washington,2019-11-17 ,Conventional,1.355396549,684683,80456,323691,3751,207724,69060
150,Baltimore/Washington,2019-11-24 ,Conventional,1.340115164,671611,72459,311391,3085,219919,64758
151,Baltimore/Washington,2019-12-01 ,Conventional,1.361237696,591335,70779,258073,2793,205903,53786
152,Baltimore/Washington,2019-12-08 ,Conventional,1.332729257,669822,83380,298128,3551,221981,62782
153,Baltimore/Washington,2019-12-15 ,Conventional,1.373603248,695865,75013,339485,3515,223635,54218
154,Baltimore/Washington,2019-12-22 ,Conventional,1.363025767,652538,77153,294450,3402,219528,58006
155,Baltimore/Washington,2019-12-29 ,Conventional,1.247337088,678620,87443,307791,2689,199437,81260
156,Birmingham/Montgomery,2019-01-07 ,Conventional,1.030217146,314636,198981,9850,1881,51201,52724
157,Birmingham/Montgomery,2019-01-13 ,Conventional,0.982446683,331251,199862,10300,2623,57712,60754
158,Birmingham/Montgomery,2019-01-20 ,Conventional,0.992400739,326952,187800,9615,2201,67855,59481
159,Birmingham/Montgomery,2019-01-27 ,Conventional,0.979464818,345482,201947,10308,2351,63306,67571
160,Birmingham/Montgomery,2019-02-03 ,Conventional,0.908766315,401558,244807,11713,3754,61946,79338
161,Birmingham/Montgomery,2019-02-10 ,Conventional,0.89963684,322773,194587,10445,2373,49415,65952
162,Birmingham/Montgomery,2019-02-17 ,Conventional,0.943910088,302485,180627,7835,1868,45502,66653
163,Birmingham/Montgomery,2019-02-24 ,Conventional,1.027071293,274563,166238,7033,1768,52171,47352
164,Birmingham/Montgomery,2019-03-03 ,Conventional,0.958821521,328097,203784,9058,1740,55144,58371
165,Birmingham/Montgomery,2019-03-10 ,Conventional,0.985285306,297798,181614,6821,1589,59409,48365
166,Birmingham/Montgomery,2019-03-17 ,Conventional,0.917201703,333189,208344,8433,1566,52654,62193
167,Birmingham/Montgomery,2019-03-24 ,Conventional,0.999166535,290947,179118,6946,1832,53026,50025
168,Birmingham/Montgomery,2019-03-31 ,Conventional,0.932089301,341657,216879,9546,1619,52898,60715
169,Birmingham/Montgomery,2019-04-07 ,Conventional,0.947935396,318470,199571,8072,2115,53625,55087
170,Birmingham/Montgomery,2019-04-14 ,Conventional,1.097635582,307802,191240,7954,1733,48635,58241
171,Birmingham/Montgomery,2019-04-21 ,Conventional,1.257195813,272574,169587,7242,1491,51171,43084
172,Birmingham/Montgomery,2019-04-28 ,Conventional,1.295324719,268539,169267,7182,1865,47004,43221
173,Birmingham/Montgomery,2019-05-05 ,Conventional,1.264342741,343636,211595,7934,2395,49959,71753
174,Birmingham/Montgomery,2019-05-12 ,Conventional,1.169129173,298370,192813,6472,1862,54416,42807
175,Birmingham/Montgomery,2019-05-19 ,Conventional,1.203660137,283278,172976,6265,1730,56736,45570
176,Birmingham/Montgomery,2019-05-26 ,Conventional,1.18528387,304739,190501,7756,1503,55007,49972
177,Birmingham/Montgomery,2019-06-02 ,Conventional,1.196107275,286021,170158,7457,1546,52624,54236
178,Birmingham/Montgomery,2019-06-09 ,Conventional,1.255067513,281462,169248,7981,1212,53592,49429
179,Birmingham/Montgomery,2019-06-16 ,Conventional,1.303208709,259638,159900,6826,1284,49104,42524
180,Birmingham/Montgomery,2019-06-23 ,Conventional,1.360382817,267113,166621,7740,1335,52896,38521
181,Birmingham/Montgomery,2019-06-30 ,Conventional,1.357183448,259764,156655,8043,1557,53265,40244
182,Birmingham/Montgomery,2019-07-07 ,Conventional,1.42907195,261339,158713,9166,1189,51569,40702
183,Birmingham/Montgomery,2019-07-14 ,Conventional,1.454447865,239026,135045,8224,1149,53414,41193
184,Birmingham/Montgomery,2019-07-21 ,Conventional,1.47775632,227475,127190,7189,1311,51880,39905
185,Birmingham/Montgomery,2019-07-28 ,Conventional,1.353310761,235164,138499,7562,1268,49651,38184
186,Birmingham/Montgomery,2019-08-04 ,Conventional,1.288046893,255117,149755,7784,1153,52867,43559
187,Birmingham/Montgomery,2019-08-11 ,Conventional,1.21821372,250304,134312,8388,1267,60607,45729
188,Birmingham/Montgomery,2019-08-18 ,Conventional,1.17830214,255886,141432,7219,1250,57857,48128
189,Birmingham/Montgomery,2019-08-25 ,Conventional,1.170349883,274816,146840,7501,1467,57264,61744
190,Birmingham/Montgomery,2019-09-01 ,Conventional,1.108424905,275128,153880,7379,1273,67240,45355
191,Birmingham/Montgomery,2019-09-08 ,Conventional,1.109321219,257721,147333,7840,1317,55375,45855
192,Birmingham/Montgomery,2019-09-15 ,Conventional,1.149043993,267325,151615,6723,1283,48361,59343
193,Birmingham/Montgomery,2019-09-22 ,Conventional,1.107631803,277711,133714,23261,1313,61168,58254
194,Birmingham/Montgomery,2019-09-29 ,Conventional,1.095487976,282004,131010,35990,1166,54862,58975
195,Birmingham/Montgomery,2019-10-06 ,Conventional,0.988650967,293097,124735,39293,1404,61173,66492
196,Birmingham/Montgomery,2019-10-13 ,Conventional,1.055294437,267789,125584,18825,1116,59120,63144
197,Birmingham/Montgomery,2019-10-20 ,Conventional,0.989591771,259719,123633,11010,1235,55451,68390
198,Birmingham/Montgomery,2019-10-27 ,Conventional,0.970553181,261020,122593,10481,1118,57329,69499
199,Birmingham/Montgomery,2019-11-03 ,Conventional,0.944518843,246385,121681,9137,1016,51864,62687
200,Birmingham/Montgomery,2019-11-10 ,Conventional,0.937668795,252023,126483,8377,1146,57936,58080
201,Birmingham/Montgomery,2019-11-17 ,Conventional,0.941169518,232262,120070,6433,1217,51540,53002
202,Birmingham/Montgomery,2019-11-24 ,Conventional,0.93746887,217704,111997,6104,977,53554,45072
203,Birmingham/Montgomery,2019-12-01 ,Conventional,0.891645823,212745,108623,5985,718,52053,45366
204,Birmingham/Montgomery,2019-12-08 ,Conventional,0.866072972,242987,135642,7377,1276,53666,45025
205,Birmingham/Montgomery,2019-12-15 ,Conventional,0.89351845,223264,128824,5643,1078,41866,45853
206,Birmingham/Montgomery,2019-12-22 ,Conventional,0.884819232,225014,133200,5465,882,40412,45055
207,Birmingham/Montgomery,2019-12-29 ,Conventional,0.874889041,240388,134339,7288,661,40047,58054
208,Boise,2019-01-07 ,Conventional,1.27470962,104342,44973,6478,13197,14231,25462
209,Boise,2019-01-13 ,Conventional,1.053331157,121937,64303,6341,8789,11764,30740
210,Boise,2019-01-20 ,Conventional,1.226724058,107544,49695,5428,12364,14078,25979
211,Boise,2019-01-27 ,Conventional,1.260923573,104262,47493,5778,11656,13767,25568
212,Boise,2019-02-03 ,Conventional,1.103754687,137537,52661,12597,15404,13851,43025
213,Boise,2019-02-10 ,Conventional,1.093301658,113562,47383,10412,8421,13192,34154
214,Boise,2019-02-17 ,Conventional,1.119228676,97602,52809,5271,6330,12924,20267
215,Boise,2019-02-24 ,Conventional,1.199606584,100998,43777,8326,9954,13591,25349
216,Boise,2019-03-03 ,Conventional,1.215038712,94490,40585,8193,10307,12440,22964
217,Boise,2019-03-10 ,Conventional,1.213780985,109491,53693,6235,9652,12605,27305
218,Boise,2019-03-17 ,Conventional,1.143037331,112044,43443,10217,9563,12337,36484
219,Boise,2019-03-24 ,Conventional,1.172713718,104792,40650,8912,10313,13119,31799
220,Boise,2019-03-31 ,Conventional,1.255835966,96644,43859,4643,10946,15912,21283
221,Boise,2019-04-07 ,Conventional,1.213457066,121324,50743,8904,10909,14611,36158
222,Boise,2019-04-14 ,Conventional,1.348870334,108624,49050,5971,8985,14878,29741
223,Boise,2019-04-21 ,Conventional,1.686235315,88757,41527,3696,10177,15429,17929
224,Boise,2019-04-28 ,Conventional,1.759372977,84019,42883,3383,11523,10596,15634
225,Boise,2019-05-05 ,Conventional,1.372655438,133862,79201,6282,10291,8829,29259
226,Boise,2019-05-12 ,Conventional,1.607080275,99154,45100,5257,11569,11435,25793
227,Boise,2019-05-19 ,Conventional,1.561508674,91788,40873,2947,9510,18230,20228
228,Boise,2019-05-26 ,Conventional,1.534997424,102353,44452,6357,9258,14685,27601
229,Boise,2019-06-02 ,Conventional,1.347145495,115196,38192,10908,8515,13595,43986
230,Boise,2019-06-09 ,Conventional,1.427592779,95202,35274,9470,7990,12019,30449
231,Boise,2019-06-16 ,Conventional,1.726506014,85184,34222,6416,10010,9446,25091
232,Boise,2019-06-23 ,Conventional,1.896781563,81053,32514,6314,7489,10567,24170
233,Boise,2019-06-30 ,Conventional,1.843068344,80756,30628,6592,8854,9922,24760
234,Boise,2019-07-07 ,Conventional,1.537147017,104895,47044,7821,6728,10497,32804
235,Boise,2019-07-14 ,Conventional,1.894841201,81694,32717,5838,5779,12178,25183
236,Boise,2019-07-21 ,Conventional,1.923637096,78710,32491,4143,7059,11929,23088
237,Boise,2019-07-28 ,Conventional,1.916785563,79928,34002,3345,6728,12480,23373
238,Boise,2019-08-04 ,Conventional,1.791573922,85858,35965,3382,5727,12587,28196
239,Boise,2019-08-11 ,Conventional,1.723638016,81713,32059,4114,3526,13831,28183
240,Boise,2019-08-18 ,Conventional,1.677723815,88984,33790,5562,3296,14853,31484
241,Boise,2019-08-25 ,Conventional,1.688053175,84277,32491,5030,2135,11818,32803
242,Boise,2019-09-01 ,Conventional,1.606493047,89455,32521,4151,2656,14315,35810
243,Boise,2019-09-08 ,Conventional,1.551089473,90033,35897,3897,1421,13082,35736
244,Boise,2019-09-15 ,Conventional,1.568721243,86459,29325,5146,2841,13958,35189
245,Boise,2019-09-22 ,Conventional,1.479082699,84364,28827,6128,4891,13133,31383
246,Boise,2019-09-29 ,Conventional,1.503229652,83194,34219,6046,1479,12658,28793
247,Boise,2019-10-06 ,Conventional,1.39542935,81284,25780,5096,1038,17137,32232
248,Boise,2019-10-13 ,Conventional,1.405398544,80176,23932,4970,875,12892,37507
249,Boise,2019-10-20 ,Conventional,1.335929321,84315,23646,6990,959,11959,40760
250,Boise,2019-10-27 ,Conventional,1.30946488,84015,23513,6568,2224,10889,40822
251,Boise,2019-11-03 ,Conventional,1.151605067,93408,24333,5204,1423,12397,50050
252,Boise,2019-11-10 ,Conventional,1.362390764,79940,25496,5412,1027,12458,35548
253,Boise,2019-11-17 ,Conventional,1.287465648,84294,24218,6041,1234,12156,40645
254,Boise,2019-11-24 ,Conventional,1.256200574,80696,24283,6621,2560,11699,35534
255,Boise,2019-12-01 ,Conventional,1.202902283,71965,22768,4577,3464,13879,27276
256,Boise,2019-12-08 ,Conventional,0.99119973,103058,31347,6044,1766,12592,51310
257,Boise,2019-12-15 ,Conventional,1.074220837,89159,33387,5438,1064,12409,36861
258,Boise,2019-12-22 ,Conventional,1.211885472,90155,32953,4785,1096,13097,38225
259,Boise,2019-12-29 ,Conventional,1.00894561,102467,28330,7412,1402,10968,54354
260,Boston,2019-01-07 ,Conventional,1.370980712,634408,10337,511656,2289,107147,2979
261,Boston,2019-01-13 ,Conventional,1.414619716,572577,9187,446437,1858,111791,3304
262,Boston,2019-01-20 ,Conventional,1.312005952,718572,10248,565949,1869,136274,4232
263,Boston,2019-01-27 ,Conventional,1.36180584,580106,8761,446412,1772,119157,4004
264,Boston,2019-02-03 ,Conventional,1.128243706,777667,11705,619276,4285,137807,4593
265,Boston,2019-02-10 ,Conventional,1.048609101,816747,11350,700331,2609,98595,3863
266,Boston,2019-02-17 ,Conventional,1.241248623,569235,8920,456966,2172,97478,3699
267,Boston,2019-02-24 ,Conventional,1.274969699,596203,9675,475059,2163,104051,5255
268,Boston,2019-03-03 ,Conventional,1.310510504,634954,9796,512143,2485,105048,5483
269,Boston,2019-03-10 ,Conventional,1.265001427,680759,9856,551272,2762,112776,4093
270,Boston,2019-03-17 ,Conventional,1.334296951,610454,10064,476459,2320,117803,3809
271,Boston,2019-03-24 ,Conventional,1.321693508,695610,11695,552837,2401,125052,3626
272,Boston,2019-03-31 ,Conventional,1.41358002,599299,8764,459057,2278,125076,4125
273,Boston,2019-04-07 ,Conventional,1.25984725,757685,10017,618943,2764,121363,4597
274,Boston,2019-04-14 ,Conventional,1.117579031,872287,12166,746094,2451,107916,3659
275,Boston,2019-04-21 ,Conventional,1.707916081,416960,7831,297913,3092,104952,3172
276,Boston,2019-04-28 ,Conventional,1.758380043,420425,8915,324240,2910,80759,3601
277,Boston,2019-05-05 ,Conventional,1.589929101,655303,11920,541175,3662,95457,3088
278,Boston,2019-05-12 ,Conventional,1.606308367,680290,11695,551538,3450,110725,2883
279,Boston,2019-05-19 ,Conventional,1.651900193,576311,8921,453257,2798,108951,2384
280,Boston,2019-05-26 ,Conventional,1.658020158,583513,10269,454848,2551,112664,3180
281,Boston,2019-06-02 ,Conventional,1.679270249,569482,8959,451158,2834,103537,2994
282,Boston,2019-06-09 ,Conventional,1.556516891,632370,8942,500077,2546,117208,3596
283,Boston,2019-06-16 ,Conventional,1.56703176,586895,8179,467481,2285,103646,5304
284,Boston,2019-06-23 ,Conventional,1.650396178,573617,10250,456043,2540,96419,8365
285,Boston,2019-06-30 ,Conventional,1.571222653,564285,8059,438269,2563,102725,12669
286,Boston,2019-07-07 ,Conventional,1.621511207,555248,8202,440842,2201,96139,7864
287,Boston,2019-07-14 ,Conventional,1.599852484,507526,6773,393536,2455,95347,9415
288,Boston,2019-07-21 ,Conventional,1.705870982,473014,7002,375475,2230,80807,7501
289,Boston,2019-07-28 ,Conventional,1.719472198,477408,7205,375158,1914,85737,7394
290,Boston,2019-08-04 ,Conventional,1.643805204,509272,7591,395147,1866,95264,9404
291,Boston,2019-08-11 ,Conventional,1.631888839,503901,6384,353042,1851,136235,6389
292,Boston,2019-08-18 ,Conventional,1.543100788,535429,12790,379340,1924,136059,5316
293,Boston,2019-08-25 ,Conventional,1.564850807,498009,11643,371736,1763,106554,6313
294,Boston,2019-09-01 ,Conventional,1.602307475,470996,9852,353307,1666,97231,8940
295,Boston,2019-09-08 ,Conventional,1.597082279,559828,9964,434313,1845,106641,7065
296,Boston,2019-09-15 ,Conventional,1.598706169,553111,9381,437679,1347,93926,10778
297,Boston,2019-09-22 ,Conventional,1.447719202,577004,7348,462185,1226,91698,14547
298,Boston,2019-09-29 ,Conventional,1.550803832,514793,8430,398235,1047,90904,16176
